trade_date,trades,traders,wins,net_profit,gross_profit,gross_loss,fees,avg_r,avg_risk_pct,avg_duration_min,losses,win_rate,cum_net_profit,running_peak,drawdown,drawdown_pct,weekday,year_month
2024-01-01,15,8,7,910.8899999999999,4651.95,3741.06,631.38,0.19818387789002834,1.301,101.4,8,46.666666666666664,910.8899999999999,910.8899999999999,0.0,0.0,Monday,2024-01
2024-01-02,7,4,2,-237.18000000000006,1669.4099999999999,1906.5900000000001,225.97,-0.15472852485144137,1.0595714285714286,163.0,5,28.57142857142857,673.7099999999998,910.8899999999999,-237.18000000000006,-26.038270263149236,Tuesday,2024-01
2024-01-03,16,6,7,-2716.19,4035.91,6752.1,943.81,0.12937042116385022,1.26025,319.125,9,43.75,-2042.4800000000002,910.8899999999999,-2953.37,-324.2290507086476,Wednesday,2024-01
2024-01-04,9,7,3,-783.35,2156.11,2939.46,191.83,0.023973777350271373,1.5813333333333333,235.33333333333334,6,33.33333333333333,-2825.8300000000004,910.8899999999999,-3736.7200000000003,-410.2273600544523,Thursday,2024-01
2024-01-05,22,6,8,-1467.4499999999998,5066.59,6534.04,579.77,0.014805600419858189,1.6616363636363636,156.3181818181818,14,36.36363636363637,-4293.280000000001,910.8899999999999,-5204.17,-571.3280418052674,Friday,2024-01
2024-01-06,7,3,3,384.24,1846.47,1462.23,107.56,0.3665365316410098,1.3898571428571427,111.85714285714286,4,42.857142857142854,-3909.040000000001,910.8899999999999,-4819.93,-529.14512180395,Saturday,2024-01
2024-01-07,1,1,1,1457.01,1457.01,0.0,25.44,1.5725399960513857,0.935,5.0,0,100.0,-2452.0300000000007,910.8899999999999,-3362.9200000000005,-369.1905718582925,Sunday,2024-01
2024-01-08,11,5,4,-1212.8,1534.98,2747.7799999999997,280.6,-0.057112589051445346,1.4562727272727272,109.0,7,36.36363636363637,-3664.830000000001,910.8899999999999,-4575.720000000001,-502.33507887889886,Monday,2024-01
2024-01-09,17,6,6,-922.0600000000001,3430.41,4352.47,312.71999999999997,-0.03395437583237609,1.8250000000000002,127.52941176470588,11,35.294117647058826,-4586.890000000001,910.8899999999999,-5497.780000000001,-603.5613520842254,Tuesday,2024-01
2024-01-10,9,4,3,956.5799999999998,3165.8999999999996,2209.32,176.11,0.07954332656545872,1.1516666666666666,137.55555555555554,6,33.33333333333333,-3630.3100000000013,910.8899999999999,-4541.200000000001,-498.54537869556157,Wednesday,2024-01
2024-01-11,9,4,3,184.41999999999985,2182.5,1998.0800000000002,140.35999999999999,-0.20842095948481598,1.0871111111111111,115.77777777777777,6,33.33333333333333,-3445.8900000000012,910.8899999999999,-4356.780000000001,-478.2992457925766,Thursday,2024-01
2024-01-12,32,9,12,-5672.55,5482.8,11155.35,590.9,-0.12084321062305606,1.678625,250.40625,20,37.5,-9118.440000000002,910.8899999999999,-10029.330000000002,-1101.047327339196,Friday,2024-01
2024-01-13,7,3,3,-173.62,1431.3000000000002,1604.92,128.71,-0.07767268879879682,1.1431428571428572,226.71428571428572,4,42.857142857142854,-9292.060000000003,910.8899999999999,-10202.950000000003,-1120.1078066506388,Saturday,2024-01
2024-01-14,5,2,1,-704.15,123.68,827.83,32.339999999999996,-0.6691675634125656,0.6856,538.6,4,20.0,-9996.210000000003,910.8899999999999,-10907.100000000002,-1197.4113229917996,Sunday,2024-01
2024-01-15,20,7,7,-1390.08,2624.78,4014.86,312.9,-0.09260682853216504,1.3526,151.1,13,35.0,-11386.290000000003,910.8899999999999,-12297.180000000002,-1350.0181141520934,Monday,2024-01
2024-01-16,15,4,4,-3107.3599999999997,4429.95,7537.3099999999995,279.52,-0.05165772822209269,1.4571333333333334,476.0,11,26.666666666666668,-14493.650000000001,910.8899999999999,-15404.54,-1691.1526089868155,Tuesday,2024-01
2024-01-17,12,5,4,331.44000000000017,2761.88,2430.44,177.55,-0.07924593800913544,1.4209166666666668,304.4166666666667,8,33.33333333333333,-14162.210000000001,910.8899999999999,-15073.1,-1654.7662176552606,Wednesday,2024-01
2024-01-18,12,5,7,1063.93,4142.22,3078.29,237.73,0.5643286967380639,1.8231666666666666,96.66666666666667,5,58.333333333333336,-13098.28,910.8899999999999,-14009.17,-1537.9650671321456,Thursday,2024-01
2024-01-19,11,3,3,-1191.26,780.6500000000001,1971.91,181.29999999999998,-0.4259709569321476,1.4877272727272726,583.9090909090909,8,27.27272727272727,-14289.54,910.8899999999999,-15200.43,-1668.7448539340646,Friday,2024-01
2024-01-20,1,1,0,-298.56,0.0,298.56,33.07,-1.1245743902478365,1.776,10.0,1,0.0,-14588.1,910.8899999999999,-15498.99,-1701.5215887758127,Saturday,2024-01
2024-01-22,19,8,8,2692.0699999999997,7093.4,4401.33,354.85,0.20487222880951242,1.152157894736842,270.8421052631579,11,42.10526315789473,-11896.03,910.8899999999999,-12806.92,-1405.9787680180923,Monday,2024-01
2024-01-23,20,5,9,5411.98,9532.38,4120.4,496.18,0.22313871974577798,1.8171500000000003,89.1,11,45.0,-6484.050000000001,910.8899999999999,-7394.9400000000005,-811.8367750222312,Tuesday,2024-01
2024-01-24,9,3,4,2080.75,3601.27,1520.52,162.84,0.34682508520688915,1.3978888888888887,130.33333333333334,5,44.44444444444444,-4403.300000000001,910.8899999999999,-5314.1900000000005,-583.4063388554052,Wednesday,2024-01
2024-01-25,11,6,3,328.45,3131.62,2803.17,190.69,-0.1651538737924826,1.3002727272727272,231.0,8,27.27272727272727,-4074.8500000000013,910.8899999999999,-4985.740000000002,-547.3481979163238,Thursday,2024-01
2024-01-26,22,7,6,-3603.08,3555.35,7158.43,390.55,-0.271909979215614,1.556,340.8181818181818,16,27.27272727272727,-7677.930000000001,910.8899999999999,-8588.820000000002,-942.9041926028393,Friday,2024-01
2024-01-28,6,2,2,-1209.82,315.32,1525.1399999999999,166.85,-0.4975792072494336,1.3105,80.33333333333333,4,33.33333333333333,-8887.750000000002,910.8899999999999,-9798.640000000001,-1075.721547058372,Sunday,2024-01
2024-01-29,12,7,2,-3856.69,794.4200000000001,4651.11,234.04,-0.4097070426211182,1.4066666666666665,245.66666666666666,10,16.666666666666664,-12744.440000000002,910.8899999999999,-13655.330000000002,-1499.1195424255402,Monday,2024-01
2024-01-30,23,8,8,4570.910000000001,10213.150000000001,5642.24,619.76,0.23591564842661922,1.2922608695652174,630.6086956521739,15,34.78260869565217,-8173.530000000002,910.8899999999999,-9084.420000000002,-997.3125185258377,Tuesday,2024-01
